Date,Name,Year,Letterboxd URI,Rating
2026-01-11,The Analytical Engine,2024,https://example.com/film/the-analytical-engine/,4.5
2026-01-27,Second Draft,2019,https://example.com/film/second-draft/,3.5
2026-02-09,Harbourside,2021,https://example.com/film/harbourside/,4.0
2026-02-22,Nine Bridges,2016,https://example.com/film/nine-bridges/,5.0
2026-03-06,A Record Is Not An Archive,2023,https://example.com/film/a-record-is-not-an-archive/,3.0
2026-03-19,Patina,2018,https://example.com/film/patina/,3.5
2026-04-01,The Long Wire,2012,https://example.com/film/the-long-wire/,2.5
2026-04-14,Understudy,2020,https://example.com/film/understudy/,4.0
2026-04-30,Tidewrack,2015,https://example.com/film/tidewrack/,4.5
2026-05-12,Dead Reckoning,2022,https://example.com/film/dead-reckoning/,3.0
2026-05-25,Marginalia,2017,https://example.com/film/marginalia/,4.0
2026-06-02,Ferrous,2013,https://example.com/film/ferrous/,2.0
