Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9001,The Quiet Instrument,Mirabel Ostrander,"Ostrander, Mirabel",,,,4,4.11,,Paperback,370,2021,2021,2026/01/22,2025/11/03,,,read,,,,1,0
9002,Riverstone,Halden Vale,"Vale, Halden",,,,2,3.72,,Paperback,432,2021,2021,2026/02/14,2025/12/19,,,read,,,,1,0
9003,Notation and Its Discontents,Junia Sparrow,"Sparrow, Junia",,,,5,4.3,,Paperback,260,2021,2021,2026/03/28,2026/01/05,,,read,,,,1,0
9004,A History of Standards,Callum Reyes,"Reyes, Callum",,,,4,3.95,,Paperback,326,2021,2021,2026/05/02,2026/02/11,,,read,,,,1,0
9005,The Long Wire,Ines Havel,"Havel, Ines",,,,3,3.4,,Paperback,221,2021,2021,,2026/03/02,,,read,,,,1,0
9006,Ebb and Neap,Marta Lindqvist,"Lindqvist, Marta",,,,0,4.02,,Paperback,193,2021,2021,,2026/03/22,,,read,,,,1,0
9007,Field Recordings,Owen Bramble,"Bramble, Owen",,,,5,4.44,,Paperback,415,2021,2021,2026/06/18,2026/04/09,,,read,,,,1,0
9008,The Second Copy,Priya Raman,"Raman, Priya",,,,0,3.88,,Paperback,330,2021,2021,,2026/04/25,,,to-read,,,,0,0
9009,Instruments of Trust,Nils Aaberg,"Aaberg, Nils",,,,0,4.07,,Paperback,335,2021,2021,,2026/05/14,,,to-read,,,,0,0
9010,Handwriting,Junia Sparrow,"Sparrow, Junia",,,,0,3.61,,Paperback,457,2021,2021,,2026/05/29,,,to-read,,,,0,0
9011,Against Summaries,Delphine Marr,"Marr, Delphine",,,,0,4.19,,Paperback,336,2021,2021,,2026/06/07,,,to-read,,,,0,0
9012,Two Passes,Mirabel Ostrander,"Ostrander, Mirabel",,,,0,3.77,,Paperback,456,2021,2021,,2026/06/20,,,currently-reading,,,,0,0
