date_visited,restaurant,rating,rank,price,enjoyed,era,occasion,cuisine_1,cuisine_2,cuisine_3,neighborhood,city,state,notes
2026-01-18,The Difference Engine,8.4,12,$$,yes,current,dinner,british,modern,,Old Quarter,Ashfield,XX,"Small room, six tables, one person cooking. The bread course is the whole argument for the place."
2026-02-07,Marisol,7.9,31,$$,yes,current,lunch,spanish,seafood,,Harbourside,Ashfield,XX,"Good tinned fish, indifferent service. Would go back alone and not with a group."
2026-02-24,Kettle & Vine,6.8,74,$,no,current,casual,italian,,,Northgate,Ashfield,XX,"Fine. Genuinely fine, and I have nothing else to say about it, which is the review."
2026-03-15,Hanoi Corner,9.1,3,$,yes,current,dinner,vietnamese,,,Riverside,Ashfield,XX,"The best thing I ate this quarter. Order the second soup, not the famous one."
2026-04-03,Oleander,8.0,22,$$$,yes,current,celebration,french,,,Old Quarter,Ashfield,XX,"Correct in every way and slightly airless. Worth it once a year for the sauces."
2026-04-27,Baker Street Grill,7.2,58,$$,yes,current,lunch,american,,,Westfields,Millbrook,XX,"Reliable, loud, good chips. The kind of place I am glad exists and never think about."
2026-05-19,Sesame House,8.6,8,$$,yes,current,dinner,chinese,sichuan,,Northgate,Ashfield,XX,"Numbing and excellent. Ask for the off-menu greens; they are the point."
2026-06-08,Fennel,7.5,44,$$,no,current,dinner,mediterranean,,,Harbourside,Ashfield,XX,"Overreached. Four ingredients too many on every plate and a room too bright to linger in."
2026-06-30,Copper Pot,8.2,17,$$,yes,current,dinner,indian,,,Riverside,Ashfield,XX,"Everything cooked to order, so it is slow, and it is worth being slow for."
2026-07-21,Nine Bridges,8.9,5,$$,yes,current,dinner,korean,,,Westfields,Millbrook,XX,"The stew is the reason to come and the banchan is the reason to stay."
2026-08-09,Larder,7.0,66,$,no,current,breakfast,cafe,,,Old Quarter,Ashfield,XX,"Good coffee, tired pastries. Went twice to check it was not a bad morning; it was not."
